state,date,income_mean,income_median,year
Perlis,2022-01-01,5664,4713.0,2022
Penang,1970-01-01,292,,1970
Penang,1974-01-01,471,241.0,1974
Penang,1976-01-01,589,363.0,1976
Penang,1979-01-01,840,534.0,1979
Penang,1984-01-01,1183,812.0,1984
Penang,1987-01-01,1130,833.0,1987
Penang,1989-01-01,1326,988.0,1989
Penang,1992-01-01,1821,1365.0,1992
Penang,1995-01-01,2225,1693.0,1995
Penang,1997-01-01,3130,2338.0,1997
Penang,1999-01-01,3128,2323.0,1999
Penang,2002-01-01,3496,2572.0,2002
Penang,2004-01-01,3531,2650.0,2004
Penang,2007-01-01,4004,2902.0,2007
Penang,2009-01-01,4407,3200.0,2009
Penang,2012-01-01,5055,4039.0,2012
Penang,2014-01-01,5993,4702.0,2014
Penang,2016-01-01,6771,5409.0,2016
Penang,2019-01-01,7774,6169.0,2019
Penang,2020-01-01,6850,5474.0,2020
Penang,2022-01-01,8267,6502.0,2022
Sabah,1976-01-01,513,309.0,1976
Sabah,1979-01-01,767,493.0,1979
Sabah,1984-01-01,1212,749.0,1984
Sabah,1987-01-01,1116,726.0,1987
Sabah,1989-01-01,1264,863.0,1989
Sabah,1992-01-01,1490,994.0,1992
Sabah,1995-01-01,1647,1133.0,1995
Sabah,1997-01-01,2057,1390.0,1997
Sabah,1999-01-01,1905,1264.0,1999
Sabah,2002-01-01,2406,1583.0,2002
Sabah,2004-01-01,2487,1606.0,2004
Sabah,2007-01-01,2837,1189.0,2007
Sabah,2009-01-01,3102,2066.0,2009
Sabah,2012-01-01,4013,2860.0,2012
Sabah,2014-01-01,4879,3745.0,2014
Sabah,2016-01-01,5354,4110.0,2016
Sabah,2019-01-01,5745,4235.0,2019
Sabah,2020-01-01,5215,3773.0,2020
Sabah,2022-01-01,6171,4577.0,2022
Sarawak,1976-01-01,426,260.0,1976
Sarawak,1979-01-01,582,365.0,1979
Sarawak,1984-01-01,1033,660.0,1984
Sarawak,1987-01-01,1141,754.0,1987
Sarawak,1989-01-01,1190,819.0,1989
Sarawak,1992-01-01,1480,999.0,1992
Sarawak,1995-01-01,1886,1305.0,1995
Sarawak,1997-01-01,2242,1499.0,1997
Sarawak,1999-01-01,2276,1667.0,1999
Sarawak,2002-01-01,2515,1704.0,2002
Sarawak,2004-01-01,2725,1804.0,2004
Sarawak,2007-01-01,3349,2250.0,2007
Sarawak,2009-01-01,3581,2394.0,2009
Sarawak,2012-01-01,4293,3047.0,2012
Sarawak,2014-01-01,4934,3778.0,2014
Sarawak,2016-01-01,5387,4163.0,2016
Sarawak,2019-01-01,5959,4544.0,2019
Sarawak,2020-01-01,5087,3831.0,2020
Sarawak,2022-01-01,6457,4978.0,2022
Selangor,1970-01-01,421,,1970
Selangor,1974-01-01,598,363.0,1974
Selangor,1976-01-01,735,441.0,1976
Selangor,1979-01-01,1067,647.0,1979
Selangor,1984-01-01,1590,1010.0,1984
Selangor,1987-01-01,1558,1049.0,1987
Selangor,1989-01-01,1658,1145.0,1989
Selangor,1992-01-01,2280,1572.0,1992
Selangor,1995-01-01,3162,2255.0,1995
Selangor,1997-01-01,4006,2850.0,1997
Selangor,1999-01-01,3702,2750.0,1999
Selangor,2002-01-01,4406,3144.0,2002
Selangor,2004-01-01,5175,3588.0,2004
Selangor,2007-01-01,5580,4046.0,2007
Selangor,2009-01-01,5962,4306.0,2009
Selangor,2012-01-01,7023,5353.0,2012
Selangor,2014-01-01,8252,6214.0,2014
Selangor,2016-01-01,9463,7225.0,2016
Selangor,2019-01-01,10827,8210.0,2019
Selangor,2020-01-01,9668,7300.0,2020
Selangor,2022-01-01,12233,9983.0,2022
